Tên sản phẩm,Link sản phẩm,Giá,Số đã bán,Doanh thu,Ngành hàng,Thương hiệu,Giá phân loại cao nhất,Giá phân loại nhỏ nhất,Link shop,Mã sản phẩm,Ngành hàng cấp 1,Ngành hàng cấp 2,Ngành hàng cấp 3,Ngày bắt đầu bán,Số lượt xem sản phẩm,Số đánh giá,Thumbnail,Tên shop,Tổng doanh số,Tổng số đánh giá,Tổng số đã bán
điện thoại Samsung Galaxy Note 9 2sim ram 6G/128G máy Chính Hãng - Bảo hành 12 tháng,https://www.lazada.vn/products/ien-thoai-samsung-galaxy-note-9-2sim-ram-6g128g-may-chinh-hang---bao-hanh-12-thang-i2202419945.html,2979548,49,156751000,Điện Thoại & Máy Tính Bảng,samsung,,,https://www.lazada.vn/tay-nguyen-store-47,2__2202419945,,,,2023-03,,,https://vn-live-01.slatic.net/p/994619b9c4b3f9f646bcae4fe96e18ad.jpg,TÂY NGUYÊN STORE 47,383616722,72,120
"điện thoại Samsung Galaxy A42 5G ram 4G/128G máy Chính Hãng, Màn hình: TFT LCD6.6 Full HD+ - Bảo hành 12 tháng",https://www.lazada.vn/products/ien-thoai-samsung-galaxy-a42-5g-ram-4g128g-may-chinh-hang-man-hinh-tft-lcd66full-hd---bao-hanh-12-thang-i2197912307.html,3199000,49,156751000,Điện Thoại & Máy Tính Bảng,,,,https://www.lazada.vn/tay-nguyen-store-47,2__2197912307,,,,2023-03,,,https://vn-live-01.slatic.net/p/17fec1782edd9c7088e84f62e986bcb2.jpg,TÂY NGUYÊN STORE 47,303905000,60,95
"điện thoại Sony XZ3 - Sony Xperia XZ3 Chính Hãng ram 4/64G, Màn: P-OLED, 6.0 , Quad HD+ (2K+), Cày game đỉnh - BCC 05",https://beeco.st/1HsFT16.1VwY8,1299000,116,156484000,Điện Thoại & Máy Tính Bảng,sony,1699000,1299000,https://shopee.vn/shop/25143432,1__19163631686__25143432,,,,2022-11,,,https://cf.shopee.vn/file/sg-11134201-22110-yp8hvdan04jv4f,baochaustore2017,684147000,33,496
Điện Thoại Apple iPhone 11 64GB,https://beeco.st/1AeaHBE.T1tU9,10950000,14,156470000,Điện Thoại & Máy Tính Bảng,apple,10950000,10950000,https://shopee.vn/shop/487028617,1__11418014414__487028617,,,,2021-07,,,https://cf.shopee.vn/file/vn-11134207-7qukw-lfnth2mqzddw77,Minh Tuấn Mobile Official,1167350000,31,102
"[ Bán lẻ = Giá Sỉ ] điện thoại Sony Xperia 1 (Sony X1) ảm 6G rom 128G Chính Hãng, Chiến PUBG/Free Fire Chất - BNN 03",https://beeco.st/1BSMDEi.gdLd,1349000,111,155067000,Điện Thoại & Máy Tính Bảng,sony,2849000,1349000,https://shopee.vn/shop/11171175,1__12286743468__11171175,,,,2022-04,,,https://cf.shopee.vn/file/c4ef7337f697ecbc5f3c38320a6e547a,Baongocstore2016,781854000,87,559
"điện thoại Samsung Galaxy S8 2sim ram 4G rom 64G, máy Chính Hãng,Màn hình: Super AMOLED, 5.8 , Quad HD+ (2K+) - BNN 02",https://beeco.st/1DnO0cK.gdLd,899000,110,153780000,Điện Thoại & Máy Tính Bảng,samsung,1998000,899000,https://shopee.vn/shop/11171175,1__14787021204__11171175,,,,2022-06,,,https://cf.shopee.vn/file/3066c8bfad034e98a48647d23cb2a3c5,Baongocstore2016,336770000,38,241
"điện thoại Chính Hãng Oppo A9 2020 2sim ram 8G/128G, màn 6.5inch, Camera siêu nét, Cày Game mượt - GGS 04",https://beeco.st/1M0OkiU.6SQBQ,997000,154,153538000,Điện Thoại & Máy Tính Bảng,oppo,2149000,997000,https://shopee.vn/shop/108110554,1__23628802846__108110554,,,,2023-03,,,https://cf.shopee.vn/file/vn-11134201-23030-bgx0ue7wu6nv30,smartphonegiasi,447550000,50,450
"Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng - 3 camera chính sắc nét, pin lớn 5000 mAh",https://beeco.st/1LeuNCe.2RUfs,7343000,19,153181000,Điện Thoại & Máy Tính Bảng,samsung,7343000,7343000,https://shopee.vn/shop/40757878,1__23234442024__40757878,,,,2023-03,,,https://cf.shopee.vn/file/vn-11134207-7r98o-llakjaoeycp4d0,Long Hưng Mobile,177478000,2,22
Điện thoại Samsung Galaxy S23 Ultra 5G (12GB/512GB) - Hàng chính hãng,https://tiki.vn/ien-thoai-samsung-galaxy-s23-ultra-5g-12gb512gb---hang-chinh-hang-p216175253.html?spid=216175261,25990000,5,151950000,Điện Thoại & Máy Tính Bảng,samsung,,,https://tiki.vn/cua-hang/tiki-trading,3__216175253__216175261,,,,2023-02,,,https://salt.tikicdn.com/cache/280x280/ts/product/56/5a/91/e06d0f1e2d3b7c0982c52ab28f680962.jpg,Tiki Trading,374080000,2,12
"điện thoại Oppo A54 5G Chính Hãng 2sim ram 8G/256G, Màn hình: IPS LCD6.5 HD+, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",https://www.lazada.vn/products/ien-thoai-oppo-a54-5g-chinh-hang-2sim-ram-8g256g-man-hinh-ips-lcd65hd-cau-hinh-manh-inh-cay-pubglien-quanfree-firetiktok-sieu-muot-i2022188908.html,3297000,46,151662000,Điện Thoại & Máy Tính Bảng,oppo,,,https://www.lazada.vn/tay-nguyen-store-47,2__2022188908,,,,2022-09,,,https://vn-live-01.slatic.net/p/7283f048603230bb6f67a50a6e1bdf61.jpg,TÂY NGUYÊN STORE 47,214305000,28,65
"điện thoại Oppo Reno4 - Oppo Reno 4 2sim Chính Hãng ram 8/256G, cấu hình khủng, Cày Game siêu mượt - BNN 01",https://beeco.st/1LkKUcK.gdLd,999000,104,151296000,Điện Thoại & Máy Tính Bảng,oppo,2399000,999000,https://shopee.vn/shop/11171175,1__23325698452__11171175,,,,2023-02,,,https://cf.shopee.vn/file/vn-11134201-23020-ndr5cydk7pnve2,Baongocstore2016,365962000,39,238
"điện thoại Samsung Galaxy J8 Chính Hãng 2sim ram 3 bộ nhớ 32G, màn 6inch, Chiến Game đỉnh - GGS 01",https://beeco.st/19bBY2V.6SQBQ,499000,178,150814000,Điện Thoại & Máy Tính Bảng,samsung,998000,499000,https://shopee.vn/shop/108110554,1__10287456415__108110554,,,,2022-02,,,https://cf.shopee.vn/file/99afafc1771f2ca6617f281e446ffda8,smartphonegiasi,771327030,83,726
Điện thoại Apple iPhone 13 128GB,https://www.lazada.vn/products/ien-thoai-apple-iphone-13-128gb-i1522260402.html,16690000,7,150710000,Điện Thoại & Máy Tính Bảng,apple,,,https://www.lazada.vn/he-thong-shopdunk,2__1522260402,,,,2021-09,,,https://vn-live-01.slatic.net/p/c7f437b76043af5031e1cf73b981d3d3.jpg,Hệ Thống Shopdunk,1295220000,4,60
điện thoại OPPO F5 6G bộ nhớ 128G/ vua Selfiel 20Mp / Chiến PUBG/Liên Quân mướt - GGS 02,https://beeco.st/11ntD-M.6SQBQ,599000,72,150336000,Điện Thoại & Máy Tính Bảng,oppo,999000,599000,https://shopee.vn/shop/108110554,1__1910300566__108110554,,,,2019-02,,,https://cf.shopee.vn/file/adf2dfb08f4b4a946e90763bbf57d509,smartphonegiasi,1209124180,58,568
ĐIỆN THOẠI XIAOMI REDMI K40 5G 6/128Gb NGUYÊN SEAL,https://beeco.st/1BUiCS9.6bnFE,9999899,19,150081000,Điện Thoại & Máy Tính Bảng,xiaomi,9999899,9999899,https://shopee.vn/shop/110564302,1__12326061833__110564302,,,,2021-10,,,https://cf.shopee.vn/file/36ce1b80263850e2ff7d370bb3735405,Hoàng An Mobile,592929552,18,74
"điện thoại Samsung Galaxy A32 máy 2sim ram 6G/128G Chính Hãng, Cày game nặng đỉnh - Bảo hành 12 Tháng",https://www.lazada.vn/products/ien-thoai-samsung-galaxy-a32-may-2sim-ram-6g128g-chinh-hang-cay-game-nang-inh---bao-hanh-12-thang-i2197568440.html,2999000,50,149950000,Điện Thoại & Máy Tính Bảng,,,,https://www.lazada.vn/tay-nguyen-store-47,2__2197568440,,,,2023-03,,,https://vn-live-01.slatic.net/p/b979f69bacc4af1cf327a79b0ba1c689.jpg,TÂY NGUYÊN STORE 47,395760935,65,132
"điện thoại Chính Hãng Oppo Reno4 2sim ram 8G/256G, Camera sau: 48 MP & 8 MP, 2 MP, 2 MP, Cày Game chất - BNN 02",https://beeco.st/1Kojoar.gdLd,1249000,112,149938000,Điện Thoại & Máy Tính Bảng,oppo,2399000,1249000,https://shopee.vn/shop/11171175,1__22325700917__11171175,,,,2023-02,,,https://cf.shopee.vn/file/vn-11134201-23020-6gb4fvqt7pnv58,Baongocstore2016,311223000,38,227
Điện thoại Samsung Galaxy A14 LTE 4GB/128GB - Hàng Chính Hãng - Đã kích hoạt bảo hành,https://tiki.vn/ien-thoai-samsung-galaxy-a14-lte-4gb128gb---hang-chinh-hang---a-kich-hoat-bao-hanh-p253269077.html?spid=253269088,3250000,46,149780000,Điện Thoại & Máy Tính Bảng,samsung,,,https://tiki.vn/cua-hang/tiki-trading,3__253269077__253269088,,,,2023-05,,,https://salt.tikicdn.com/cache/280x280/ts/product/1f/74/8e/95c376c1ac28830260b4dab6dc8c8fa7.png,Tiki Trading,316310000,16,97
Điện thoại Xiaomi Redmi K50 Ultra Nhập khẩu Giá Siêu tốt,https://beeco.st/1Go_rEC.A48be,9999000,16,149484000,Điện Thoại & Máy Tính Bảng,redmi,9999000,9999000,https://shopee.vn/shop/168855912,1__18035463052__168855912,,,,2022-08,,,https://cf.shopee.vn/file/sg-11134201-22110-44vwsxchq2jv0f,HOÀNG TÌNH MOBILE,158783000,4,17
"điện thoại Oppo F11 Pro Chính Hãng 2sim ram 8/256G, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",https://www.lazada.vn/products/ien-thoai-oppo-f11-pro-chinh-hang-2sim-ram-8256g-cau-hinh-manh-inh-cay-pubglien-quanfree-firetiktok-sieu-muot-i2024539621.html,2988000,50,149400000,Điện Thoại & Máy Tính Bảng,oppo,,,https://www.lazada.vn/tay-nguyen-store-47,2__2024539621,,,,2022-09,,,https://vn-live-01.slatic.net/p/6353785da11287eca9dceebfa4ba3c90.jpg,TÂY NGUYÊN STORE 47,200196000,29,67
"[RẺ VÔ ĐỊCH] điện thoại Samsung Galaxy S9 Plus 2sim bộ nhớ 64G ram6G, máy Chính Hãng, Chiến Game quá đỉnh - BNN 02",https://beeco.st/1BE7KEK.gdLd,898000,115,149270000,Điện Thoại & Máy Tính Bảng,samsung,2699000,898000,https://shopee.vn/shop/11171175,1__12047958932__11171175,,,,2021-11,,,https://cf.shopee.vn/file/bba61073fc05089b3c36ede69993f101,Baongocstore2016,781878000,87,601
"điện thoại Sony Xperia XZ3 ram 4G/64G Chính Hãng,Chip: Snapdragon 845 8 nhân, màn 6.0 , Quad HD+ (2K+) - GGS 03",https://beeco.st/1BkWLWE.6SQBQ,1215000,114,148578000,Điện Thoại & Máy Tính Bảng,sony,1917000,1215000,https://shopee.vn/shop/108110554,1__12591388686__108110554,,,,2022-05,,,https://cf.shopee.vn/file/ba657e2a6100c12f4d2fd0e07a049cd9,smartphonegiasi,714588120,95,546
"điện thoại Realme 5 Pro 2sim ram 8/256G Chính Hãng, Màn: IPS LCD6.3 HD+, Chip: Snapdragon 712, Pin 4035mah - BNN 01",https://beeco.st/1Gk0lcp.gdLd,949000,104,148496000,Điện Thoại & Máy Tính Bảng,realme,1788000,949000,https://shopee.vn/shop/11171175,1__17951816115__11171175,,,,2022-04,,,https://cf.shopee.vn/file/vn-11134201-7qukw-lewcz5ddk9ze37,Baongocstore2016,358710000,31,240
Điện Thoại Samsung Galaxy S22 - 8GB/256GB - Hàng Chính Hãng,https://beeco.st/1ExCMAv.PEChj,11900000,9,148410000,Điện Thoại & Máy Tính Bảng,samsung,11900000,11900000,https://shopee.vn/shop/423152365,1__16025477817__423152365,,,,2022-03,,,https://cf.shopee.vn/file/8d17e6f2e6306cef92e55230c3d8f651,Vian_Mobile_Store,148410000,2,9
"điện thoại Samsung Galaxy S8 Plus 2sim ram 4/64G Chính Hãng, Camera sau: 12 MP trước: 8 MP, chiến game mượt - BNN 03",https://beeco.st/1ISmNts.gdLd,1099000,110,148170000,Điện Thoại & Máy Tính Bảng,samsung,2249000,1099000,https://shopee.vn/shop/11171175,1__19809795574__11171175,,,,2022-06,,,https://cf.shopee.vn/file/5c3853c70194ff29f626a7d7a7f80700,Baongocstore2016,746597000,83,553
"điện thoại Samsung Galaxy S20 Plus 5G 2sim Chính Hãng ram 12G rom 128G, màn 6.7inch, cày Game siêu mượt mà - BCC 05",https://beeco.st/1JK03rK.1VwY8,2299000,33,147867000,Điện Thoại & Máy Tính Bảng,samsung,4499000,2299000,https://shopee.vn/shop/25143432,1__20736654676__25143432,,,,2022-08,,,https://cf.shopee.vn/file/vn-11134201-23030-481fzv3urwovb1,baochaustore2017,1749159000,32,391
Điện thoại oppo F7 mới tinh chính hãng nhập khẩu 64gb ram4,https://beeco.st/177OAH0.2w5hG,1395000,61,147850000,Điện Thoại & Máy Tính Bảng,oppo,1495000,1395000,https://shopee.vn/shop/48782032,1__7639966784__48782032,,,,2020-06,,,https://cf.shopee.vn/file/vn-11134201-23030-8vs3tbsupmova4,Phương Lê Store,2393305750,64,994
"điện thoại Samsung Galaxy A50s Chính Hãng 2sim ram 4G rom 64G, Màn hình: 6.4 Full HD+, Cày Game siêu mượt - BNN 02",https://beeco.st/1FLxMq4.gdLd,1099000,110,147840000,Điện Thoại & Máy Tính Bảng,samsung,1699000,1099000,https://shopee.vn/shop/11171175,1__16474008836__11171175,,,,2022-06,,,https://cf.shopee.vn/file/73f8ac7e250908e7335ed0edfa2812f6,Baongocstore2016,778882200,87,579
"điện thoại Samsung Galaxy S9 Plus 2sim ram 6G/64G, Màn hình: Super AMOLED, 6.2 , Quad HD+ (2K+), Máy Chính Hãng - BNN 01",https://beeco.st/1Dh0VNK.gdLd,999000,95,147250000,Điện Thoại & Máy Tính Bảng,samsung,2699000,999000,https://shopee.vn/shop/11171175,1__14680192468__11171175,,,,2022-04,,,https://cf.shopee.vn/file/94879d059d25166e0f4832d9a6efaceb,Baongocstore2016,521145000,61,336
"điện thoại Chính Hãng Oppo A91 2022 máy 2sim ram 8G/256G, Camera sau: Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP - BNN 02",https://beeco.st/1K5vYPE.gdLd,1249000,110,147205000,Điện Thoại & Máy Tính Bảng,oppo,1999000,1249000,https://shopee.vn/shop/11171175,1__21573805646__11171175,,,,2023-02,,,https://cf.shopee.vn/file/vn-11134201-23020-0j53us9feqnvf8,Baongocstore2016,307203000,37,224
"điện thoại Chính Hãng Vivo Y17 2sim ram 8/256G,Camera trước: 20 MP, Màn hình: IPS LCD6.35 HD+, Cày Game mượt - BNN 01",https://beeco.st/1DyvGH4.gdLd,849000,99,147015000,Điện Thoại & Máy Tính Bảng,vivo,1699000,849000,https://shopee.vn/shop/11171175,1__14980285508__11171175,,,,2022-04,,,https://cf.shopee.vn/file/68ecbe2acddb4c87fab8dfa33c113eb0,Baongocstore2016,833647000,83,561
[ RẺ HỦY DIỆT ] điện thoại Samsung Galaxy S9 Plus 2sim (6G/64G) Chính Hãng - màn hình Vô cực 6.2inch - BNN 05,https://beeco.st/19s3Tvr.gdLd,998000,98,146304000,Điện Thoại & Máy Tính Bảng,samsung,2650000,998000,https://shopee.vn/shop/11171175,1__10570554997__11171175,,,,2021-11,,,https://cf.shopee.vn/file/cd6d14b5bb752ce161389a117919100f,Baongocstore2016,507812000,65,339
Điện Thoại Xiaomi Redmi Note 12 Pro 5G 128GB/256GB NFC Màn Hình Oled 1080 50MP Camera 67W,https://beeco.st/1IFguBa.ppP3y,6648000,20,145709000,Điện Thoại & Máy Tính Bảng,xiaomi,7199000,6648000,https://shopee.vn/shop/869110012,1__19590251236__869110012,,,,2023-06,,,https://cf.shopee.vn/file/cn-11134207-7r98o-llees1p97ess75,Mi Global Zone.vn,864351000,29,116
"điện thoại Oppo A52 Chính Hãng 2sim ram 8 rom 256G, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",https://www.lazada.vn/products/ien-thoai-oppo-a52-chinh-hang-2sim-ram-8-rom-256g-cau-hinh-manh-inh-cay-pubglien-quanfree-firetiktok-sieu-muot-i2021961513.html,3098000,47,145606000,Điện Thoại & Máy Tính Bảng,oppo,,,https://www.lazada.vn/tay-nguyen-store-47,2__2021961513,,,,2022-09,,,https://vn-live-01.slatic.net/p/74b6990447c465d5a0d9ccc80ec80dbe.jpg,TÂY NGUYÊN STORE 47,204512000,35,70
"điện thoại Vivo Y22s 2sim ram 8G/256G Chính Hãng, cấu hình CPU siêu Cao Cấp, đánh mọi Game nặng chất - BCC 05",https://beeco.st/1KN8oRX.1VwY8,649000,148,145510000,Điện Thoại & Máy Tính Bảng,vivo,2099000,649000,https://shopee.vn/shop/25143432,1__21863016161__25143432,,,,2022-11,,,https://cf.shopee.vn/file/sg-11134201-22110-qg1gy4jm1zjv5f,baochaustore2017,572162000,38,574
"[ Rẻ Hủy Diệt ] điện Thoại Samsung Galaxy A20 Chính Hãng, máy 2sim ram 4G rom 64G, camera siêu nét - GGS 02",https://beeco.st/1GPPsHe.6SQBQ,489000,134,145459000,Điện Thoại & Máy Tính Bảng,samsung,1599000,489000,https://shopee.vn/shop/108110554,1__17606075496__108110554,,,,2022-02,,,https://cf.shopee.vn/file/8e4424b1917feb9a585f5895ea0930cb,smartphonegiasi,797267330,85,704
"điện thoại Samsung Galaxy A70 Chính Hãng 2sim ram 6/128G, Màn 6.7 Full HD+ Camera sau:2 MP & 8 MP, 5MP - GGS 01",https://beeco.st/1Gq7rSX.6SQBQ,1147000,114,145448000,Điện Thoại & Máy Tính Bảng,samsung,1947000,1147000,https://shopee.vn/shop/108110554,1__18054338337__108110554,,,,2022-10,,,https://cf.shopee.vn/file/sg-11134201-22100-0e8n4qohslivd7,smartphonegiasi,566643690,50,446
"điện thoại Samsung Galaxy S8 máy 2sim ram 4G/64G Hàng Chính Hãng, cấu hình mạnh, cân mọi Game chất - BNN 02",https://beeco.st/1JmCgKf.gdLd,1248000,112,145376000,Điện Thoại & Máy Tính Bảng,samsung,2149000,1248000,https://shopee.vn/shop/11171175,1__21209720105__11171175,,,,2022-06,,,https://cf.shopee.vn/file/682d12c5aeede8397554b6b906b318fe,Baongocstore2016,332740000,43,256
"điện thoại Vsmart Star Chính Hãng 2sim ram 2G/16G, Màn hình: IPS LCD5.7 HD+, Chiến Game chất lừ - BCC 06",https://beeco.st/1JWsXDT.1VwY8,499000,237,144829300,Điện Thoại & Máy Tính Bảng,vsmart,599000,499000,https://shopee.vn/shop/25143432,1__20952257373__25143432,,,,2022-10,,,https://cf.shopee.vn/file/c77234225f54a2d266178f7c21867815,baochaustore2017,418880800,36,682
"điện thoại Xiaomi Xiaomi 11 Lite 5G NE 2sim ram 8G bộ nhớ 128G Chính Hãng, Cấu hình Chip Cao mạnh mẽ Cày Liên Quân- PUBG-Free Fire-Tiktok siêu mượt",https://www.lazada.vn/products/ien-thoai-xiaomi-xiaomi-11-lite-5g-ne-2sim-ram-8g-bo-nho-128g-chinh-hang-cau-hinh-chip-cao-manh-me-cay-lien-quan--pubg-free-fire-tiktok-sieu-muot-i2032875066.html,2999000,48,143952000,Điện Thoại & Máy Tính Bảng,xiaomi,,,https://www.lazada.vn/tay-nguyen-store-47,2__2032875066,,,,2022-09,,,https://vn-live-01.slatic.net/p/1b23ac277833cae9d6fec84200c98bba.jpg,TÂY NGUYÊN STORE 47,260913000,30,87
"điện thoại Samsung Galaxy S7 Edge 2sim ram 4G/32G mới Zin, Chính Hãng, Cày PUBG/Liên Quân - BCC 05",https://beeco.st/1Fxqce3.1VwY8,482350,249,143553000,Điện Thoại & Máy Tính Bảng,samsung,1540000,482350,https://shopee.vn/shop/25143432,1__17109772803__25143432,,,,2022-02,,,https://cf.shopee.vn/file/7f82e630902907642261536441527605,baochaustore2017,508233000,56,857
"điện thoại Samsung GALAXY J7 Pro 2sim (3GB/32GB) mới zin 100%, Camera sắc nét, Cày Zalo Tiktok fb Youtube - GGS 01",https://beeco.st/13Nbl8s.6SQBQ,479520,138,143504000,Điện Thoại & Máy Tính Bảng,samsung,1053000,479520,https://shopee.vn/shop/108110554,1__3616993846__108110554,,,,2020-02,,,https://cf.shopee.vn/file/8e6fe9f5fb706c4adcdec12e6fbba6dd,smartphonegiasi,1172057860,107,950
"điện thoại Chính Hãng Samsung Galaxy S8 2SIM bộ nhớ 64G ram 4G, màn hình Vô cực 5.8inch - BNN 02",https://beeco.st/1CdXLaO.gdLd,999000,111,142989000,Điện Thoại & Máy Tính Bảng,samsung,1999000,999000,https://shopee.vn/shop/11171175,1__13547952408__11171175,,,,2021-11,,,https://cf.shopee.vn/file/ceba1a8606e83473ee0106b0b8560fa6,Baongocstore2016,773684000,87,596
"điện thoại Vivo Y19 2sim ram 8G/256G, máy Chính Hãng,Camera sau: Chính 16 MP & Phụ 8 MP, 2 MP, Cày Game mượt BNN 02",https://beeco.st/1GnSJH3.gdLd,629000,110,142670000,Điện Thoại & Máy Tính Bảng,vivo,1849000,629000,https://shopee.vn/shop/11171175,1__18009371715__11171175,,,,2022-06,,,https://cf.shopee.vn/file/a79cb88bc7edfe50b84be2f922bd4f77,Baongocstore2016,364113000,42,281
"điện thoại Chính Hãng Oppo Reno4 Z bản 5G máy 2sim ram 12G/512G, màn 6.57inch, Camera siêu nét - GGS 03",https://beeco.st/1KX0HiQ.6SQBQ,1249000,114,142386000,Điện Thoại & Máy Tính Bảng,oppo,2650000,1249000,https://shopee.vn/shop/108110554,1__22028557082__108110554,,,,2023-03,,,https://cf.shopee.vn/file/vn-11134201-23030-poqvgkbgq5nvbb,smartphonegiasi,569005000,50,456
"Điện thoại Xiaomi Mi 11 Lite 5G Snapdragon 780G, thiết kế siêu mỏng, camera AI 64 MP",https://beeco.st/1HOUCS_.CCOuC,3698000,36,142100000,Điện Thoại & Máy Tính Bảng,xiaomi,3998000,3698000,https://shopee.vn/shop/204574220,1__18664179519__204574220,,,,2022-11,,,https://cf.shopee.vn/file/sg-11134201-22110-g0bqiantc8jvde,maytinhbanghaiphong,661662000,81,165
[Nhập ELSSMX7 Giảm 7% Tối Đa 500k] Điện Thoại Samsung Galaxy A14 LTE (4GB/128GB),https://beeco.st/1F5CrOv.3wD4m,4490000,39,141910000,Điện Thoại & Máy Tính Bảng,samsung,4490000,4490000,https://shopee.vn/shop/65589552,1__16193377849__65589552,,,,2023-03,,,https://cf.shopee.vn/file/vn-11134201-7qukw-ljijpkhd20w2d4,SAMSUNG OFFICIAL STORE,1839000000,161,500
"điện thoại Samsung Galaxy A70 Chính Hãng 2sim ram 6G/128G, màn 6.7inch, Cày Game nặng chất - GGS 02",https://beeco.st/1L3ym7_.6SQBQ,899000,141,141909000,Điện Thoại & Máy Tính Bảng,samsung,2040660,899000,https://shopee.vn/shop/108110554,1__22614835711__108110554,,,,2022-12,,,https://cf.shopee.vn/file/sg-11134201-22120-nab3smjclmlva5,smartphonegiasi,504350060,55,487
Điện Thoại Xiaomi Redmi Note 12 Pro 4G 8GB + 128GB 732G 6.67  FHD + Camera Chính 5000mAh 67W,https://beeco.st/1JBHaY5.ppP3y,5799000,24,141576000,Điện Thoại & Máy Tính Bảng,xiaomi,7962000,5799000,https://shopee.vn/shop/869110012,1__20590250117__869110012,,,,2023-06,,,https://cf.shopee.vn/file/cn-11134207-7r98o-llees1p98td8f6,Mi Global Zone.vn,389624000,19,65
điện thoại Samsung Galaxy A20 2sim ram 3G/32G mới CHÍNH HÃNG - chiến PUBG/Free Fire mượt - BNN 03,https://beeco.st/15gbk4L.gdLd,499000,113,141137000,Điện Thoại & Máy Tính Bảng,samsung,1099000,499000,https://shopee.vn/shop/11171175,1__6083240213__11171175,,,,2021-03,,,https://cf.shopee.vn/file/d8e0baaae7fac6c1c6d1569a518c936a,Baongocstore2016,307256000,40,249
"điện thoại Oppo Reno2 Z - Oppo Reno 2Z 2sim ram 8G rom 256G Chính Hãng, màn 6.5'', cày Game siêu mượt - GGS 03",https://beeco.st/1ICULcF.6SQBQ,891000,141,140859000,Điện Thoại & Máy Tính Bảng,oppo,2133000,891000,https://shopee.vn/shop/108110554,1__19536632207__108110554,,,,2022-08,,,https://cf.shopee.vn/file/vn-11134201-23030-8cwbwgx6p5nvbb,smartphonegiasi,557861030,68,559
Điện thoại Xiaomi Mi 10 5G màn AMOLED 90Hz - Snap 865 ram 8G 128G,https://beeco.st/1Ick94u.2x_-U,3986000,33,140844000,Điện Thoại & Máy Tính Bảng,xiaomi,3986000,3986000,https://shopee.vn/shop/49282974,1__19976982840__49282974,,,,2023-03,,,https://cf.shopee.vn/file/vn-11134201-7qukw-lerablm09mc7da,Thế Linh Store,550172000,39,129
"điện thoại giá rẻ Oppo A95 5G Chính Hãng 2sim ram 12/512G, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",https://www.lazada.vn/products/ien-thoai-gia-re-oppo-a95-5g-chinh-hang-2sim-ram-12512g-cau-hinh-manh-inh-cay-pubglien-quanfree-firetiktok-sieu-muot-i2022285057.html,3198000,44,140712000,Điện Thoại & Máy Tính Bảng,oppo,,,https://www.lazada.vn/tay-nguyen-store-47,2__2022285057,,,,2022-09,,,https://vn-live-01.slatic.net/p/ef52375a489155c53f14ffb46f6b6446.jpg,TÂY NGUYÊN STORE 47,198276000,29,62
"Điện thoại LG V50 ThinQ ram 6G/128G mới Chính hãng, Chiến PUBG/Liên Quân ngon lành, Bảo hành 12 tháng - BCC 06",https://beeco.st/1FC8Xl2.1VwY8,1399000,70,140525000,Điện Thoại & Máy Tính Bảng,lg,2899000,1399000,https://shopee.vn/shop/25143432,1__16309689282__25143432,,,,2022-02,,,https://cf.shopee.vn/file/d2055f9662d5fe325ee8be4e5b75ff81,baochaustore2017,766485500,41,376
Điện thoại Samsung Galaxy Z Flip3 5G 128GB,https://www.lazada.vn/products/ien-thoai-samsung-galaxy-z-flip3-5g-128gb-i1516218735.html,19990000,7,139930000,Điện Thoại & Máy Tính Bảng,samsung,,,https://www.lazada.vn/binguyenshop,2__1516218735,,,,2021-09,,,https://sg-live-01.slatic.net/p/567b28108ea05c479cd802373b87359b.jpg,Binguyenshop,279774000,3,14
"điện thoại Samsung Galaxy A30s Chính Hãng 2sim ram 4G bộ nhớ 64G, Chiến PUBG/Free/Liên Quân chất - BNN 05",https://beeco.st/1E9EEYD.gdLd,999000,100,139800000,Điện Thoại & Máy Tính Bảng,samsung,1599000,999000,https://shopee.vn/shop/11171175,1__15187110029__11171175,,,,2022-06,,,https://cf.shopee.vn/file/c7f5e53b33fdaca131bb76d4f4ff1ae4,Baongocstore2016,362433000,46,260
"điện thoại Realme 6 Chính Hãng 2sim ram 8G/256G, Màn hình: IPS LCD6.5 Full HD+, Camera sau: Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP, Cấu hình Chip Cao mạnh mẽ Cày Liên Quân- PUBG-Free Fire-Tiktok siêu mượt",https://www.lazada.vn/products/ien-thoai-realme-6-chinh-hang-2sim-ram-8g256g-man-hinh-ips-lcd65full-hd-camera-sau-chinh-64-mp--phu-8-mp-2-mp-2-mp-cau-hinh-chip-cao-manh-me-cay-lien-quan--pubg-free-fire-tiktok-sieu-muot-i2037010151.html,3097000,45,139365000,Điện Thoại & Máy Tính Bảng,realme,,,https://www.lazada.vn/tay-nguyen-store-47,2__2037010151,,,,2022-09,,,https://vn-live-01.slatic.net/p/9e1a3df8d884d1f1355fb687851ccf8c.jpg,TÂY NGUYÊN STORE 47,297912000,54,96
